"Event Date","Serial Killer Name","Serial Killer Profile URL","Event Type","Year of Event"
"02/27/1960","Ilshat Kuzikov","https://skdb.fandom.com/wiki/Ilshat_Kuzikov","Birth","1960"
"02/27/1976","Petr Zelenka","https://skdb.fandom.com/wiki/Petr_Zelenka","Birth","1976"
"02/28/1803","Thomas Williams","https://skdb.fandom.com/wiki/Thomas_Williams","Birth","1803"
"02/28/1942","Dennis Stanworth","https://skdb.fandom.com/wiki/Dennis_Stanworth","Birth","1942"
"02/28/1959","Michel Peiry","https://skdb.fandom.com/wiki/Michel_Peiry","Birth","1959"
"02/28/1964","Andrei Sibiryakov","https://skdb.fandom.com/wiki/Andrei_Sibiryakov","Birth","1964"
"02/28/1967","Angela Girdner","","Other Event","1967"
"02/28/1972","Robert Wayne Harris","https://skdb.fandom.com/wiki/Robert_Wayne_Harris","Birth","1972"
"02/28/1973","Pedro Pablo Nakada Ludeña","https://skdb.fandom.com/wiki/Pedro_Pablo_Nakada_Lude%C3%B1a","Birth","1973"
"02/28/1990","Jerrid Powell","https://skdb.fandom.com/wiki/Jerrid_Powell","Birth","1990"
"02/29/1956","Aileen Wuornos","https://skdb.fandom.com/wiki/Aileen_Wuornos","Birth","1956"
"02/29/1960","Richard Ramirez","https://skdb.fandom.com/wiki/Richard_Ramirez","Birth","1960"
"02/01/2004","James Edward Wood","https://skdb.fandom.com/wiki/James_Edward_Wood","Death","2004"
"02/02/1905","Elisabeth Wiese","https://skdb.fandom.com/wiki/Elisabeth_Wiese","Death","1905"
"02/02/1998","Manuel Delgado Villegas","https://skdb.fandom.com/wiki/Manuel_Delgado_Villegas","Death","1998"
"02/03/1980","Lillie Mae Curtis","https://skdb.fandom.com/wiki/Lillie_Mae_Curtis","Death","1980"
"02/04/1653","Jasper Hanebuth","https://skdb.fandom.com/wiki/Jasper_Hanebuth","Death","1653"
"02/05/1862","Samuel Calhoun","https://skdb.fandom.com/wiki/Samuel_Calhoun","Death","1862"
"02/05/1958","Lyda Southard","https://skdb.fandom.com/wiki/Lyda_Southard","Death","1958"
"02/05/1979","Nikolay Sakharov","https://skdb.fandom.com/wiki/Nikolay_Sakharov","Death","1979"
"02/05/2010","Bi Yonggang","https://skdb.fandom.com/wiki/Bi_Yonggang","Death","2010"
"02/06/1980","John Phuko Kgabi","https://skdb.fandom.com/wiki/John_Phuko_Kgabi","Death","1980"
"02/06/1997","Michael Carl George","https://skdb.fandom.com/wiki/Michael_Carl_George","Death","1997"
"02/06/2023","Mario Berrios","https://skdb.fandom.com/wiki/Mario_Berrios","Death","2023"
"02/07/1838","Jean Aumaître","https://skdb.fandom.com/wiki/Jean_Auma%C3%AEtre","Death","1838"
"02/07/2011","Omid Barak","https://skdb.fandom.com/wiki/Omid_Barak","Death","2011"
"02/07/2017","Billy Boyette","https://skdb.fandom.com/wiki/Billy_Boyette","Death","2017"
"02/08/1804","Wiley Harpe","https://skdb.fandom.com/wiki/Wiley_Harpe","Death","1804"
"02/08/1851","Jean-Claude Jacquemard","https://skdb.fandom.com/wiki/Jean-Claude_Jacquemard","Death","1851"
"02/08/1895","Eugene Byars","https://skdb.fandom.com/wiki/Eugene_Byars","Death","1895"
"02/08/1895","John Franklin Gilman","https://skdb.fandom.com/wiki/John_Franklin_Gilman","Death","1895"
"02/08/1913","Eiichi Hyakutake","https://skdb.fandom.com/wiki/Eiichi_Hyakutake","Death","1913"
"02/08/1913","Taka Hyakutake","https://skdb.fandom.com/wiki/Taka_Hyakutake","Death","1913"
"02/08/2021","Anthony Sowell","https://skdb.fandom.com/wiki/Anthony_Sowell","Death","2021"
"02/08/2023","Primo Bisi","https://skdb.fandom.com/wiki/Primo_Bisi","Death","2023"
"02/09/1986","Ángel Díaz Balbín","https://skdb.fandom.com/wiki/%C3%81ngel_D%C3%ADaz_Balb%C3%ADn","Death","1986"
"02/09/2002","John Ingvar Lövgren","https://skdb.fandom.com/wiki/John_Ingvar_L%C3%B6vgren","Death","2002"
"02/10/1886","Dennis Dilda","https://skdb.fandom.com/wiki/Dennis_Dilda","Death","1886"
"02/10/2009","Dale Scheanette","https://skdb.fandom.com/wiki/Dale_Scheanette","Death","2009"
"02/10/2012","Su Hong","https://skdb.fandom.com/wiki/Su_Hong","Death","2012"
"02/11/1999","Danny Barber","https://skdb.fandom.com/wiki/Danny_Barber","Death","1999"
"02/11/2023","Terry Childs","https://skdb.fandom.com/wiki/Terry_Childs","Death","2023"
"02/12/1886","Josef Englich","https://skdb.fandom.com/wiki/Josef_Englich","Death","1886"
"02/12/2009","Johnny Johnson","https://skdb.fandom.com/wiki/Johnny_Johnson","Death","2009"
"02/13/2013","Paul Eugene Rowles","https://skdb.fandom.com/wiki/Paul_Eugene_Rowles","Death","2013"
"02/14/1980","Marie Besnard","https://skdb.fandom.com/wiki/Marie_Besnard","Death","1980"
"02/14/1986","Marc Fasquel","https://skdb.fandom.com/wiki/Marc_Fasquel","Death","1986"
